Unnamed: 0,vehicleKey,type,fuelType,engineSize,mass,time,castAluminium,wroughtAluminium,mildSteel,highStrengthSteel,castIron,magnesium,catalyst,EESystem,powerElectronics,BMS,tractionMotorInduction,tractionMotorPM
115,V00000002,unknown,unknown,unknown, 1000-1249 kg,2007,0,0,0,0,0,0,86.0,0,0,0,0,0
116,V00000002,unknown,unknown,unknown, 1000-1249 kg,2008,0,0,0,0,0,0,86.0,0,0,0,0,0
117,V00000002,unknown,unknown,unknown, 1000-1249 kg,2009,0,0,0,0,0,0,86.0,0,0,0,0,0
118,V00000002,unknown,unknown,unknown, 1000-1249 kg,2010,0,0,0,0,0,0,86.0,0,0,0,0,0
119,V00000002,unknown,unknown,unknown, 1000-1249 kg,2011,0,0,0,0,0,0,86.0,0,0,0,0,0
120,V00000002,unknown,unknown,unknown, 1000-1249 kg,2012,0,0,0,0,0,0,86.0,0,0,0,0,0
121,V00000002,unknown,unknown,unknown, 1000-1249 kg,2013,0,0,0,0,0,0,86.0,0,0,0,0,0
122,V00000002,unknown,unknown,unknown, 1000-1249 kg,2014,0,0,0,0,0,0,86.0,0,0,0,0,0
123,V00000002,unknown,unknown,unknown, 1000-1249 kg,2015,0,0,0,0,0,0,86.0,0,0,0,0,0
124,V00000002,unknown,unknown,unknown, 1000-1249 kg,2016,0,0,0,0,0,0,86.0,0,0,0,0,0
125,V00000002,unknown,unknown,unknown, 1000-1249 kg,2017,0,0,0,0,0,0,86.0,0,0,0,0,0
126,V00000002,unknown,unknown,unknown, 1000-1249 kg,2018,0,0,0,0,0,0,86.0,0,0,0,0,0
127,V00000002,unknown,unknown,unknown, 1000-1249 kg,2019,0,0,0,0,0,0,86.0,0,0,0,0,0
128,V00000002,unknown,unknown,unknown, 1000-1249 kg,2020,0,0,0,0,0,0,86.0,0,0,0,0,0
129,V00000002,unknown,unknown,unknown, 1000-1249 kg,2021,0,0,0,0,0,0,86.0,0,0,0,0,0
130,V00000002,unknown,unknown,unknown, 1000-1249 kg,2022,0,0,0,0,0,0,86.0,0,0,0,0,0
131,V00000002,unknown,unknown,unknown, 1000-1249 kg,2023,0,0,0,0,0,0,86.0,0,0,0,0,0
132,V00000003,unknown,unknown,unknown, 1250-1499 kg,1980,0,0,0,0,0,0,86.0,0,0,0,0,0
133,V00000003,unknown,unknown,unknown, 1250-1499 kg,1981,0,0,0,0,0,0,86.0,0,0,0,0,0
134,V00000003,unknown,unknown,unknown, 1250-1499 kg,1982,0,0,0,0,0,0,86.0,0,0,0,0,0
135,V00000003,unknown,unknown,unknown, 1250-1499 kg,1983,0,0,0,0,0,0,86.0,0,0,0,0,0
136,V00000003,unknown,unknown,unknown, 1250-1499 kg,1984,0,0,0,0,0,0,86.0,0,0,0,0,0
137,V00000003,unknown,unknown,unknown, 1250-1499 kg,1985,0,0,0,0,0,0,86.0,0,0,0,0,0
138,V00000003,unknown,unknown,unknown, 1250-1499 kg,1986,0,0,0,0,0,0,86.0,0,0,0,0,0
139,V00000003,unknown,unknown,unknown, 1250-1499 kg,1987,0,0,0,0,0,0,86.0,0,0,0,0,0
140,V00000003,unknown,unknown,unknown, 1250-1499 kg,1988,0,0,0,0,0,0,86.0,0,0,0,0,0
141,V00000003,unknown,unknown,unknown, 1250-1499 kg,1989,0,0,0,0,0,0,86.0,0,0,0,0,0
142,V00000003,unknown,unknown,unknown, 1250-1499 kg,1990,0,0,0,0,0,0,86.0,0,0,0,0,0
143,V00000003,unknown,unknown,unknown, 1250-1499 kg,1991,0,0,0,0,0,0,86.0,0,0,0,0,0
144,V00000003,unknown,unknown,unknown, 1250-1499 kg,1992,0,0,0,0,0,0,86.0,0,0,0,0,0
145,V00000003,unknown,unknown,unknown, 1250-1499 kg,1993,0,0,0,0,0,0,86.0,0,0,0,0,0
146,V00000003,unknown,unknown,unknown, 1250-1499 kg,1994,0,0,0,0,0,0,86.0,0,0,0,0,0
147,V00000003,unknown,unknown,unknown, 1250-1499 kg,1995,0,0,0,0,0,0,86.0,0,0,0,0,0
148,V00000003,unknown,unknown,unknown, 1250-1499 kg,1996,0,0,0,0,0,0,86.0,0,0,0,0,0
149,V00000003,unknown,unknown,unknown, 1250-1499 kg,1997,0,0,0,0,0,0,86.0,0,0,0,0,0
150,V00000003,unknown,unknown,unknown, 1250-1499 kg,1998,0,0,0,0,0,0,86.0,0,0,0,0,0
151,V00000003,unknown,unknown,unknown, 1250-1499 kg,1999,0,0,0,0,0,0,86.0,0,0,0,0,0
152,V00000003,unknown,unknown,unknown, 1250-1499 kg,2000,0,0,0,0,0,0,86.0,0,0,0,0,0
153,V00000003,unknown,unknown,unknown, 1250-1499 kg,2001,0,0,0,0,0,0,86.0,0,0,0,0,0
154,V00000003,unknown,unknown,unknown, 1250-1499 kg,2002,0,0,0,0,0,0,86.0,0,0,0,0,0
155,V00000003,unknown,unknown,unknown, 1250-1499 kg,2003,0,0,0,0,0,0,86.0,0,0,0,0,0
156,V00000003,unknown,unknown,unknown, 1250-1499 kg,2004,0,0,0,0,0,0,86.0,0,0,0,0,0
157,V00000003,unknown,unknown,unknown, 1250-1499 kg,2005,0,0,0,0,0,0,86.0,0,0,0,0,0
158,V00000003,unknown,unknown,unknown, 1250-1499 kg,2006,0,0,0,0,0,0,86.0,0,0,0,0,0
159,V00000003,unknown,unknown,unknown, 1250-1499 kg,2007,0,0,0,0,0,0,86.0,0,0,0,0,0
160,V00000003,unknown,unknown,unknown, 1250-1499 kg,2008,0,0,0,0,0,0,86.0,0,0,0,0,0
161,V00000003,unknown,unknown,unknown, 1250-1499 kg,2009,0,0,0,0,0,0,86.0,0,0,0,0,0
162,V00000003,unknown,unknown,unknown, 1250-1499 kg,2010,0,0,0,0,0,0,86.0,0,0,0,0,0
163,V00000003,unknown,unknown,unknown, 1250-1499 kg,2011,0,0,0,0,0,0,86.0,0,0,0,0,0
164,V00000003,unknown,unknown,unknown, 1250-1499 kg,2012,0,0,0,0,0,0,86.0,0,0,0,0,0
165,V00000003,unknown,unknown,unknown, 1250-1499 kg,2013,0,0,0,0,0,0,86.0,0,0,0,0,0
166,V00000003,unknown,unknown,unknown, 1250-1499 kg,2014,0,0,0,0,0,0,86.0,0,0,0,0,0
167,V00000003,unknown,unknown,unknown, 1250-1499 kg,2015,0,0,0,0,0,0,86.0,0,0,0,0,0
168,V00000003,unknown,unknown,unknown, 1250-1499 kg,2016,0,0,0,0,0,0,86.0,0,0,0,0,0
169,V00000003,unknown,unknown,unknown, 1250-1499 kg,2017,0,0,0,0,0,0,86.0,0,0,0,0,0
170,V00000003,unknown,unknown,unknown, 1250-1499 kg,2018,0,0,0,0,0,0,86.0,0,0,0,0,0
171,V00000003,unknown,unknown,unknown, 1250-1499 kg,2019,0,0,0,0,0,0,86.0,0,0,0,0,0
