,outflow,outflow,outflow,outflow,outflow,inflow,inflow,inflow,inflow,inflow,info,info,info,info,info
,flow,product,component,material,element,flow,product,component,material,element,data,values_count,priority,priority_count,original row
105,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,aggregateBinderMixedMaterials,Ag,[0.59 0.18],2,[2111],1,[541 538]
106,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,aggregateBinderMixedMaterials,Al,WEEE_chem_thermal,,ComponentShadowWEEE,aggregateBinderMixedMaterials,Al,[0.06 0.53],2,[2111],1,[544 542]
107,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,aggregateBinderMixedMaterials,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,aggregateBinderMixedMaterials,Cu,[0.4  0.18],2,[2111],1,[540 545]
108,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,bitumen,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,bitumen,Ag,[0.59 0.18],2,[2111],1,[541 538]
109,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,bitumen,Al,WEEE_chem_thermal,,ComponentShadowWEEE,bitumen,Al,[0.06 0.53],2,[2111],1,[544 542]
110,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,bitumen,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,bitumen,Cu,[0.4  0.18],2,[2111],1,[540 545]
111,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,carbon,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,carbon,Ag,[0.59 0.18],2,[2111],1,[541 538]
112,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,carbon,Al,WEEE_chem_thermal,,ComponentShadowWEEE,carbon,Al,[0.06 0.53],2,[2111],1,[544 542]
113,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,carbon,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,carbon,Cu,[0.4  0.18],2,[2111],1,[540 545]
114,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ceramicComposites,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,ceramicComposites,Ag,[0.59 0.18],2,[2111],1,[541 538]
115,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ceramicComposites,Al,WEEE_chem_thermal,,ComponentShadowWEEE,ceramicComposites,Al,[0.06 0.53],2,[2111],1,[544 542]
116,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ceramicComposites,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,ceramicComposites,Cu,[0.4  0.18],2,[2111],1,[540 545]
117,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,concrete,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,concrete,Ag,[0.59 0.18],2,[2111],1,[541 538]
118,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,concrete,Al,WEEE_chem_thermal,,ComponentShadowWEEE,concrete,Al,[0.06 0.53],2,[2111],1,[544 542]
119,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,concrete,Cu,WEEE_chem_thermal,,ComponentShadowWEEE,concrete,Cu,[0.4  0.18],2,[2111],1,[540 545]
120,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ferrousMetals,Ag,WEEE_chem_thermal,,ComponentShadowWEEE,ferrousMetals,Ag,[0.59 0.18],2,[2111],1,[541 538]
121,WEEE_2RM_thermal2Smelter_other,,ComponentShadowWEEE,ferrousMetals,Al,WEEE_chem_thermal,,ComponentShadowWEEE,ferrousMetals,Al,[0.06 0.53],2,[2111],1,[544 542]
